update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,2333.6956408461247,0,0.0,0.0,0.0,0.0,46.52,28.653963076684523,1.0,120.0,1.9143151193857193,-0.09474768489599228,-0.043406665325164795,0.0016554824251215905,0.04012721880286452,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2550.0763075326386,1,0.0,0.0,0.0,0.0,99.6875,56.33684268531562,22.0,220.0,1.9296526312828064,-0.06034768186509609,-0.01902705174870789,0.000330535345710814,0.01152635541191061,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2600.4730511440353,2,0.0,0.0,0.0,0.0,82.88888888888889,98.64633173834747,1.0,324.0,1.9302324503660202,-0.04753821017220616,-0.014014614396728575,0.0002051627634500619,0.007302299317311902,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2600.2085607145755,3,0.0,0.0,0.0,0.0,110.57142857142857,113.88698300490351,2.0,324.0,1.9371528774499893,-0.036809274926781654,-0.011233976925723255,0.00015210714445856865,0.006963670399856365,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2526.0226696822333,4,0.0,0.0,0.0,0.0,117.5625,98.14973812369547,4.0,324.0,1.9345307350158691,-0.031054751249030232,-0.010211230488494039,0.00011489642747619655,0.0063890706677271585,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2514.2962074231136,4,0.0,0.0,0.0,0.0,92.15384615384616,105.6691834517564,1.0,324.0,1.939814731478691,-0.020626844139769673,-0.008423419028986245,6.982661761867348e-05,0.005236288500086083,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2571.432511955456,5,0.0,0.0,0.0,0.0,72.0625,78.5902894367364,3.0,324.0,1.9393905252218246,-0.018623854964971542,-0.005218671576585621,4.630375815395382e-05,0.003377495501465011,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,2576.4148545394287,6,0.0,0.0,0.0,0.0,117.14285714285714,117.69655726416441,2.0,324.0,1.941028818488121,-0.01163983577862382,-0.004986561078112572,3.88215557904914e-05,0.0027360134663436215,0.0,0.0,0.0,0.0
